Znacznik,CZAS,Grupa 1 - Pole 0,CZAS,Grupa 10 - Pole 2,CZAS,Grupa 11 - Pole 1,,,,,,,,,,,,,,,,,,,
,ZAPISU,Engine Speed - (G28),ZAPISU,Boost Pressure - (actual),ZAPISU,Boost Pressure - (specified),,,,,,,,,,,,,,,,,,,
,, /min,, mbar,, mbar,,,,,,,,,,,,,,,,,,,
,17.48,2919,17.57,1162.8,17.39,1723.8,,,,,,,,,,,,,,,,,,,
,17.73,2919,17.82,1162.8,17.65,1703.4,,,,,,,,,,,,,,,,,,,
,17.97,2961,18.06,1173.0,17.89,1672.8,,,,,,,,,,,,,,,,,,,
,18.26,3003,18.34,1173.0,18.15,1662.6,,,,,,,,,,,,,,,,,,,
,18.51,3024,18.59,1193.4,18.42,1642.2,,,,,,,,,,,,,,,,,,,
,18.77,3045,18.86,1428.0,18.67,1632.0,,,,,,,,,,,,,,,,,,,
,19.03,3066,19.11,1672.8,18.94,1621.8,,,,,,,,,,,,,,,,,,,
,19.28,3087,19.37,1846.2,19.20,1611.6,,,,,,,,,,,,,,,,,,,
,19.54,3129,19.62,1917.6,19.45,1601.4,,,,,,,,,,,,,,,,,,,
,19.78,3150,19.87,1815.6,19.70,1591.2,,,,,,,,,,,,,,,,,,,
,20.03,3171,20.13,1703.4,19.95,1581.0,,,,,,,,,,,,,,,,,,,
,20.29,3192,20.37,1642.2,20.21,1570.8,,,,,,,,,,,,,,,,,,,
,20.54,3213,20.63,1591.2,20.46,1560.6,,,,,,,,,,,,,,,,,,,
,20.81,3234,20.90,1570.8,20.72,1550.4,,,,,,,,,,,,,,,,,,,
,21.07,3255,21.15,1560.6,20.98,1540.2,,,,,,,,,,,,,,,,,,,
,21.32,3297,21.40,1550.4,21.24,1530.0,,,,,,,,,,,,,,,,,,,
,21.56,3318,21.65,1550.4,21.49,1530.0,,,,,,,,,,,,,,,,,,,
,21.82,3318,21.90,1550.4,21.74,1530.0,,,,,,,,,,,,,,,,,,,
,22.07,3339,22.17,1550.4,22.00,1519.8,,,,,,,,,,,,,,,,,,,
,22.34,3381,22.43,1550.4,22.27,1509.6,,,,,,,,,,,,,,,,,,,
,22.61,3402,22.70,1550.4,22.53,1499.4,,,,,,,,,,,,,,,,,,,
,22.88,3423,22.97,1550.4,22.80,1499.4,,,,,,,,,,,,,,,,,,,
,23.15,3444,23.24,1560.6,23.06,1489.2,,,,,,,,,,,,,,,,,,,
,23.42,3465,23.51,1560.6,23.33,1489.2,,,,,,,,,,,,,,,,,,,
,23.69,3486,23.77,1560.6,23.60,1479.0,,,,,,,,,,,,,,,,,,,
,23.94,3339,24.03,1479.0,23.85,1193.4,,,,,,,,,,,,,,,,,,,
,24.21,3444,24.29,1315.8,24.12,1193.4,,,,,,,,,,,,,,,,,,,
,24.46,3381,24.55,1346.4,24.37,1428.0,,,,,,,,,,,,,,,,,,,
,24.71,3360,24.80,1530.0,24.63,1489.2,,,,,,,,,,,,,,,,,,,
,24.97,2415,25.05,1468.8,24.88,1785.0,,,,,,,,,,,,,,,,,,,
,25.24,2415,25.33,1315.8,25.14,1795.2,,,,,,,,,,,,,,,,,,,
,25.49,2415,25.58,1224.0,25.41,1795.2,,,,,,,,,,,,,,,,,,,
,25.74,2436,25.83,1183.2,25.66,1795.2,,,,,,,,,,,,,,,,,,,
,26.00,2436,26.08,1152.6,25.92,1795.2,,,,,,,,,,,,,,,,,,,
,26.26,2436,26.35,1142.4,26.18,1795.2,,,,,,,,,,,,,,,,,,,
,26.52,2457,26.61,1132.2,26.44,1795.2,,,,,,,,,,,,,,,,,,,
,26.78,2478,26.87,1132.2,26.70,1805.4,,,,,,,,,,,,,,,,,,,
,27.05,2478,27.13,1132.2,26.96,1805.4,,,,,,,,,,,,,,,,,,,
,27.31,2646,27.39,1132.2,27.23,1805.4,,,,,,,,,,,,,,,,,,,
,27.56,3066,27.65,1122.0,27.48,1703.4,,,,,,,,,,,,,,,,,,,
,27.83,3276,27.92,1285.2,27.74,1550.4,,,,,,,,,,,,,,,,,,,
,28.10,3486,28.20,1509.6,28.01,1489.2,,,,,,,,,,,,,,,,,,,
,28.38,3549,28.47,1693.2,28.29,1458.6,,,,,,,,,,,,,,,,,,,
,28.64,3549,28.72,1713.6,28.55,1458.6,,,,,,,,,,,,,,,,,,,
,28.88,3570,28.97,1632.0,28.80,1458.6,,,,,,,,,,,,,,,,,,,
,29.13,3591,29.22,1570.8,29.05,1448.4,,,,,,,,,,,,,,,,,,,
,29.38,3591,29.47,1530.0,29.30,1448.4,,,,,,,,,,,,,,,,,,,
,29.64,3591,29.72,1509.6,29.55,1448.4,,,,,,,,,,,,,,,,,,,
,29.90,3612,29.98,1499.4,29.81,1448.4,,,,,,,,,,,,,,,,,,,
,30.15,3612,30.24,1499.4,30.06,1438.2,,,,,,,,,,,,,,,,,,,
,30.41,3633,30.50,1489.2,30.33,1438.2,,,,,,,,,,,,,,,,,,,
,30.66,3633,30.75,1489.2,30.58,1438.2,,,,,,,,,,,,,,,,,,,
,30.92,3654,31.00,1489.2,30.83,1438.2,,,,,,,,,,,,,,,,,,,
,31.18,3654,31.27,1479.0,31.09,1428.0,,,,,,,,,,,,,,,,,,,
,31.44,3654,31.53,1479.0,31.36,1438.2,,,,,,,,,,,,,,,,,,,
,31.69,3654,31.78,1479.0,31.61,1428.0,,,,,,,,,,,,,,,,,,,
,31.95,3654,32.04,1479.0,31.87,1428.0,,,,,,,,,,,,,,,,,,,
,32.20,3549,32.28,1377.0,32.12,1193.4,,,,,,,,,,,,,,,,,,,
,32.45,3549,32.53,1244.4,32.36,1193.4,,,,,,,,,,,,,,,,,,,
,32.70,3465,32.79,1173.0,32.61,1193.4,,,,,,,,,,,,,,,,,,,
,32.95,3234,33.02,1142.4,32.87,1193.4,,,,,,,,,,,,,,,,,,,
,33.20,2982,33.28,1122.0,33.10,1183.2,,,,,,,,,,,,,,,,,,,
,33.45,2751,33.52,1122.0,33.36,1173.0,,,,,,,,,,,,,,,,,,,
,33.70,2541,33.77,1122.0,33.61,1162.8,,,,,,,,,,,,,,,,,,,
,33.95,2583,34.02,1132.2,33.85,1703.4,,,,,,,,,,,,,,,,,,,
,34.20,2352,34.29,1111.8,34.12,1785.0,,,,,,,,,,,,,,,,,,,
,34.48,2814,34.55,1091.4,34.38,1805.4,,,,,,,,,,,,,,,,,,,
,34.73,3192,34.81,1122.0,34.64,1621.8,,,,,,,,,,,,,,,,,,,
,34.97,3255,35.05,1326.0,34.89,1550.4,,,,,,,,,,,,,,,,,,,
,35.25,3255,35.33,1581.0,35.16,1540.2,,,,,,,,,,,,,,,,,,,
,35.51,3255,35.59,1734.0,35.41,1540.2,,,,,,,,,,,,,,,,,,,
,35.75,3276,35.84,1815.6,35.67,1540.2,,,,,,,,,,,,,,,,,,,
,36.03,3297,36.11,1754.4,35.93,1530.0,,,,,,,,,,,,,,,,,,,
,36.28,3297,36.37,1672.8,36.19,1530.0,,,,,,,,,,,,,,,,,,,
,36.53,3297,36.61,1632.0,36.45,1530.0,,,,,,,,,,,,,,,,,,,
,36.78,3318,36.87,1601.4,36.69,1519.8,,,,,,,,,,,,,,,,,,,
,37.03,3318,37.11,1581.0,36.95,1519.8,,,,,,,,,,,,,,,,,,,
,37.29,3339,37.38,1570.8,37.20,1519.8,,,,,,,,,,,,,,,,,,,
,37.56,3339,37.65,1570.8,37.47,1509.6,,,,,,,,,,,,,,,,,,,
,37.82,3339,37.91,1570.8,37.73,1509.6,,,,,,,,,,,,,,,,,,,
,38.09,3255,38.18,1458.6,38.00,1183.2,,,,,,,,,,,,,,,,,,,
,38.37,3255,38.44,1315.8,38.27,1183.2,,,,,,,,,,,,,,,,,,,
,38.62,3213,38.70,1234.2,38.53,1183.2,,,,,,,,,,,,,,,,,,,
,38.88,3171,38.97,1183.2,38.79,1183.2,,,,,,,,,,,,,,,,,,,
,39.15,3108,39.24,1152.6,39.06,1183.2,,,,,,,,,,,,,,,,,,,
,39.41,3066,39.50,1142.4,39.32,1183.2,,,,,,,,,,,,,,,,,,,
,39.68,3024,39.75,1132.2,39.59,1183.2,,,,,,,,,,,,,,,,,,,
,39.94,2982,40.01,1132.2,39.84,1183.2,,,,,,,,,,,,,,,,,,,
,40.19,2940,40.28,1132.2,40.09,1173.0,,,,,,,,,,,,,,,,,,,
,40.47,2898,40.54,1132.2,40.37,1173.0,,,,,,,,,,,,,,,,,,,
,40.72,2835,40.80,1132.2,40.63,1173.0,,,,,,,,,,,,,,,,,,,
,40.99,2793,41.06,1132.2,40.89,1173.0,,,,,,,,,,,,,,,,,,,
,41.24,2772,41.31,1132.2,41.14,1173.0,,,,,,,,,,,,,,,,,,,
,41.49,2730,41.56,1132.2,41.39,1173.0,,,,,,,,,,,,,,,,,,,
,41.74,2688,41.83,1132.2,41.65,1162.8,,,,,,,,,,,,,,,,,,,
,42.02,2646,42.09,1142.4,41.92,1162.8,,,,,,,,,,,,,,,,,,,
,42.28,2604,42.35,1132.2,42.18,1162.8,,,,,,,,,,,,,,,,,,,
,42.53,2541,42.62,1132.2,42.44,1152.6,,,,,,,,,,,,,,,,,,,
,42.78,2520,42.87,1132.2,42.70,1152.6,,,,,,,,,,,,,,,,,,,
,43.04,2478,43.12,1132.2,42.95,1152.6,,,,,,,,,,,,,,,,,,,
